"","date","datatype","GHCND:JA000047412","GHCND:USC00118740","GHCND:KSM00047101"
"1","2015-01-01T00:00:00","PRCP",5,0,NA
"2","2015-01-02T00:00:00","PRCP",76,0,NA
"3","2015-01-03T00:00:00","PRCP",0,94,NA
"4","2015-01-04T00:00:00","PRCP",0,79,NA
"5","2015-01-05T00:00:00","PRCP",0,5,0
"6","2015-01-06T00:00:00","PRCP",0,53,20
"7","2015-01-07T00:00:00","PRCP",84,3,NA
"8","2015-01-08T00:00:00","PRCP",170,0,NA
"9","2015-01-09T00:00:00","PRCP",175,0,NA
"10","2015-01-10T00:00:00","PRCP",130,0,NA
"11","2015-01-11T00:00:00","PRCP",5,0,5
"12","2015-01-12T00:00:00","PRCP",94,86,NA
"13","2015-01-13T00:00:00","PRCP",56,0,NA
"14","2015-01-14T00:00:00","PRCP",0,0,NA
"15","2015-01-15T00:00:00","PRCP",0,0,NA
"16","2015-01-16T00:00:00","PRCP",36,0,10
"17","2015-01-17T00:00:00","PRCP",36,0,NA
"18","2015-01-18T00:00:00","PRCP",206,0,NA
"19","2015-01-19T00:00:00","PRCP",15,0,51
"20","2015-01-20T00:00:00","PRCP",5,0,NA
"21","2015-01-21T00:00:00","PRCP",180,0,NA
"22","2015-01-22T00:00:00","PRCP",0,0,NA
"23","2015-01-23T00:00:00","PRCP",36,0,NA
"24","2015-01-24T00:00:00","PRCP",79,0,NA
"25","2015-01-25T00:00:00","PRCP",25,5,NA
"26","2015-01-26T00:00:00","PRCP",0,28,51
"27","2015-01-27T00:00:00","PRCP",5,10,NA
"28","2015-01-28T00:00:00","PRCP",20,0,NA
"29","2015-01-29T00:00:00","PRCP",0,0,NA
"30","2015-01-30T00:00:00","PRCP",0,0,NA
"31","2015-01-31T00:00:00","PRCP",0,0,NA
"32","2015-02-01T00:00:00","PRCP",0,117,NA
"33","2015-02-02T00:00:00","PRCP",94,56,NA
"34","2015-02-03T00:00:00","PRCP",46,0,NA
"35","2015-02-04T00:00:00","PRCP",0,0,NA
"36","2015-02-05T00:00:00","PRCP",0,10,NA
"37","2015-02-06T00:00:00","PRCP",0,0,NA
"38","2015-02-07T00:00:00","PRCP",0,0,NA
"39","2015-02-08T00:00:00","PRCP",5,0,NA
"40","2015-02-09T00:00:00","PRCP",71,0,NA
"41","2015-02-10T00:00:00","PRCP",0,0,0
"42","2015-02-11T00:00:00","PRCP",10,0,NA
"43","2015-02-12T00:00:00","PRCP",0,0,NA
"44","2015-02-13T00:00:00","PRCP",5,0,NA
"45","2015-02-14T00:00:00","PRCP",94,0,NA
"46","2015-02-15T00:00:00","PRCP",36,0,NA
"47","2015-02-16T00:00:00","PRCP",36,0,130
"48","2015-02-17T00:00:00","PRCP",0,0,13
"49","2015-02-18T00:00:00","PRCP",0,8,0
"50","2015-02-19T00:00:00","PRCP",0,0,0
"51","2015-02-20T00:00:00","PRCP",0,0,NA
"52","2015-02-21T00:00:00","PRCP",0,99,NA
"53","2015-02-22T00:00:00","PRCP",0,0,41
"54","2015-02-23T00:00:00","PRCP",25,0,NA
"55","2015-02-24T00:00:00","PRCP",5,0,NA
"56","2015-02-25T00:00:00","PRCP",10,0,NA
"57","2015-02-26T00:00:00","PRCP",5,23,10
"58","2015-02-27T00:00:00","PRCP",89,0,NA
"59","2015-02-28T00:00:00","PRCP",46,0,NA
"60","2015-03-01T00:00:00","PRCP",15,163,NA
"61","2015-03-02T00:00:00","PRCP",71,5,NA
"62","2015-03-03T00:00:00","PRCP",30,10,43
"63","2015-03-04T00:00:00","PRCP",0,0,NA
"64","2015-03-05T00:00:00","PRCP",94,0,NA
"65","2015-03-06T00:00:00","PRCP",25,0,NA
"66","2015-03-07T00:00:00","PRCP",5,0,NA
"67","2015-03-08T00:00:00","PRCP",30,0,NA
"68","2015-03-09T00:00:00","PRCP",0,0,NA
"69","2015-03-10T00:00:00","PRCP",386,15,NA
"70","2015-03-11T00:00:00","PRCP",386,8,NA
"71","2015-03-12T00:00:00","PRCP",10,0,NA
"72","2015-03-13T00:00:00","PRCP",20,28,0
"73","2015-03-14T00:00:00","PRCP",119,8,NA
"74","2015-03-15T00:00:00","PRCP",5,0,NA
"75","2015-03-16T00:00:00","PRCP",0,0,NA
"76","2015-03-17T00:00:00","PRCP",0,0,NA
"77","2015-03-18T00:00:00","PRCP",0,0,NA
"78","2015-03-19T00:00:00","PRCP",0,0,NA
"79","2015-03-20T00:00:00","PRCP",0,28,NA
"80","2015-03-21T00:00:00","PRCP",5,0,NA
"81","2015-03-22T00:00:00","PRCP",0,0,NA
"82","2015-03-23T00:00:00","PRCP",0,0,NA
"83","2015-03-24T00:00:00","PRCP",0,8,NA
"84","2015-03-25T00:00:00","PRCP",10,56,NA
"85","2015-03-26T00:00:00","PRCP",5,94,NA
"86","2015-03-27T00:00:00","PRCP",0,0,NA
"87","2015-03-28T00:00:00","PRCP",0,0,NA
"88","2015-03-29T00:00:00","PRCP",0,0,NA
"89","2015-03-30T00:00:00","PRCP",0,10,NA
"90","2015-03-31T00:00:00","PRCP",0,0,NA
"91","2015-04-01T00:00:00","PRCP",56,0,81
"92","2015-04-02T00:00:00","PRCP",0,0,3
"93","2015-04-03T00:00:00","PRCP",89,5,340
"94","2015-04-04T00:00:00","PRCP",185,0,NA
"95","2015-04-05T00:00:00","PRCP",0,0,NA
"96","2015-04-06T00:00:00","PRCP",5,0,NA
"97","2015-04-07T00:00:00","PRCP",0,15,NA
"98","2015-04-08T00:00:00","PRCP",0,122,NA
"99","2015-04-09T00:00:00","PRCP",0,318,NA
"100","2015-04-10T00:00:00","PRCP",0,81,NA
"101","2015-04-11T00:00:00","PRCP",0,0,NA
"102","2015-04-12T00:00:00","PRCP",0,0,NA
"103","2015-04-13T00:00:00","PRCP",0,13,NA
"104","2015-04-14T00:00:00","PRCP",0,3,290
"105","2015-04-15T00:00:00","PRCP",0,0,61
"106","2015-04-16T00:00:00","PRCP",386,20,71
"107","2015-04-17T00:00:00","PRCP",0,0,NA
"108","2015-04-18T00:00:00","PRCP",0,0,NA
"109","2015-04-19T00:00:00","PRCP",5,0,NA
"110","2015-04-20T00:00:00","PRCP",0,130,137
"111","2015-04-21T00:00:00","PRCP",216,3,NA
"112","2015-04-22T00:00:00","PRCP",0,30,NA
"113","2015-04-23T00:00:00","PRCP",0,0,NA
"114","2015-04-24T00:00:00","PRCP",0,0,NA
"115","2015-04-25T00:00:00","PRCP",10,10,NA
"116","2015-04-26T00:00:00","PRCP",0,157,NA
"117","2015-04-27T00:00:00","PRCP",0,0,NA
"118","2015-04-28T00:00:00","PRCP",0,0,NA
"119","2015-04-29T00:00:00","PRCP",0,0,3
"120","2015-04-30T00:00:00","PRCP",0,13,NA
"121","2015-05-01T00:00:00","PRCP",0,0,NA
"122","2015-05-02T00:00:00","PRCP",0,0,NA
"123","2015-05-03T00:00:00","PRCP",0,0,51
"124","2015-05-04T00:00:00","PRCP",0,53,NA
"125","2015-05-05T00:00:00","PRCP",41,0,NA
"126","2015-05-06T00:00:00","PRCP",0,0,NA
"127","2015-05-07T00:00:00","PRCP",0,0,NA
"128","2015-05-08T00:00:00","PRCP",0,25,NA
"129","2015-05-09T00:00:00","PRCP",0,58,NA
"130","2015-05-10T00:00:00","PRCP",15,165,NA
"131","2015-05-11T00:00:00","PRCP",0,127,NA
"132","2015-05-12T00:00:00","PRCP",0,64,239
"133","2015-05-13T00:00:00","PRCP",140,0,NA
"134","2015-05-14T00:00:00","PRCP",46,0,NA
"135","2015-05-15T00:00:00","PRCP",0,99,NA
"136","2015-05-16T00:00:00","PRCP",0,38,NA
"137","2015-05-17T00:00:00","PRCP",0,66,NA
"138","2015-05-18T00:00:00","PRCP",5,0,NA
"139","2015-05-19T00:00:00","PRCP",5,0,NA
"140","2015-05-20T00:00:00","PRCP",5,0,NA
"141","2015-05-21T00:00:00","PRCP",30,23,NA
"142","2015-05-22T00:00:00","PRCP",0,0,NA
"143","2015-05-23T00:00:00","PRCP",0,0,NA
"144","2015-05-24T00:00:00","PRCP",0,0,NA
"145","2015-05-25T00:00:00","PRCP",0,5,NA
"146","2015-05-26T00:00:00","PRCP",0,3,NA
"147","2015-05-27T00:00:00","PRCP",0,48,NA
"148","2015-05-28T00:00:00","PRCP",0,0,NA
"149","2015-05-29T00:00:00","PRCP",0,0,NA
"150","2015-05-30T00:00:00","PRCP",0,51,5
"151","2015-05-31T00:00:00","PRCP",84,716,NA
"152","2015-06-01T00:00:00","PRCP",0,3,NA
"153","2015-06-02T00:00:00","PRCP",0,0,NA
"154","2015-06-03T00:00:00","PRCP",0,0,NA
"155","2015-06-04T00:00:00","PRCP",361,0,NA
"156","2015-06-05T00:00:00","PRCP",104,0,0
"157","2015-06-06T00:00:00","PRCP",20,0,NA
"158","2015-06-07T00:00:00","PRCP",0,0,NA
"159","2015-06-08T00:00:00","PRCP",10,620,NA
"160","2015-06-09T00:00:00","PRCP",0,3,NA
"161","2015-06-10T00:00:00","PRCP",66,0,NA
"162","2015-06-11T00:00:00","PRCP",0,0,NA
"163","2015-06-12T00:00:00","PRCP",0,51,5
"164","2015-06-13T00:00:00","PRCP",0,274,89
"165","2015-06-14T00:00:00","PRCP",0,79,10
"166","2015-06-15T00:00:00","PRCP",0,8,NA
"167","2015-06-16T00:00:00","PRCP",0,104,NA
"168","2015-06-17T00:00:00","PRCP",0,3,NA
"169","2015-06-18T00:00:00","PRCP",0,15,NA
"170","2015-06-19T00:00:00","PRCP",0,86,NA
"171","2015-06-20T00:00:00","PRCP",0,28,51
"172","2015-06-21T00:00:00","PRCP",0,71,NA
"173","2015-06-22T00:00:00","PRCP",0,0,NA
"174","2015-06-23T00:00:00","PRCP",0,0,10
"175","2015-06-24T00:00:00","PRCP",41,0,NA
"176","2015-06-25T00:00:00","PRCP",0,686,NA
"177","2015-06-26T00:00:00","PRCP",0,3,231
"178","2015-06-27T00:00:00","PRCP",0,244,NA
"179","2015-06-28T00:00:00","PRCP",25,0,NA
"180","2015-06-29T00:00:00","PRCP",0,46,NA
"181","2015-06-30T00:00:00","PRCP",5,5,NA
"182","2015-07-01T00:00:00","PRCP",61,0,71
"183","2015-07-02T00:00:00","PRCP",36,3,NA
"184","2015-07-03T00:00:00","PRCP",5,0,NA
"185","2015-07-04T00:00:00","PRCP",0,0,NA
"186","2015-07-05T00:00:00","PRCP",0,0,NA
"187","2015-07-06T00:00:00","PRCP",0,0,NA
"188","2015-07-07T00:00:00","PRCP",0,363,NA
"189","2015-07-08T00:00:00","PRCP",36,25,122
"190","2015-07-09T00:00:00","PRCP",0,259,NA
"191","2015-07-10T00:00:00","PRCP",0,5,NA
"192","2015-07-11T00:00:00","PRCP",0,8,NA
"193","2015-07-12T00:00:00","PRCP",0,56,259
"194","2015-07-13T00:00:00","PRCP",0,0,61
"195","2015-07-14T00:00:00","PRCP",10,0,3
"196","2015-07-15T00:00:00","PRCP",0,0,NA
"197","2015-07-16T00:00:00","PRCP",0,0,NA
"198","2015-07-17T00:00:00","PRCP",0,3,NA
"199","2015-07-18T00:00:00","PRCP",0,0,NA
"200","2015-07-19T00:00:00","PRCP",269,3,81
"201","2015-07-20T00:00:00","PRCP",0,5,0
"202","2015-07-21T00:00:00","PRCP",0,91,0
"203","2015-07-22T00:00:00","PRCP",201,0,NA
"204","2015-07-23T00:00:00","PRCP",5,0,140
"205","2015-07-24T00:00:00","PRCP",0,0,599
"206","2015-07-25T00:00:00","PRCP",20,0,551
"207","2015-07-26T00:00:00","PRCP",15,23,353
"208","2015-07-27T00:00:00","PRCP",20,0,NA
"209","2015-07-28T00:00:00","PRCP",0,0,NA
"210","2015-07-29T00:00:00","PRCP",0,229,89
"211","2015-07-30T00:00:00","PRCP",0,0,NA
"212","2015-07-31T00:00:00","PRCP",0,0,NA
"213","2015-08-01T00:00:00","PRCP",10,0,NA
"214","2015-08-02T00:00:00","PRCP",0,0,150
"215","2015-08-03T00:00:00","PRCP",0,0,NA
"216","2015-08-04T00:00:00","PRCP",0,0,NA
"217","2015-08-05T00:00:00","PRCP",0,0,0
"218","2015-08-06T00:00:00","PRCP",0,33,NA
"219","2015-08-07T00:00:00","PRCP",765,0,NA
"220","2015-08-08T00:00:00","PRCP",0,0,NA
"221","2015-08-09T00:00:00","PRCP",0,23,NA
"222","2015-08-10T00:00:00","PRCP",0,264,NA
"223","2015-08-11T00:00:00","PRCP",0,0,NA
"224","2015-08-12T00:00:00","PRCP",175,0,NA
"225","2015-08-13T00:00:00","PRCP",0,0,NA
"226","2015-08-14T00:00:00","PRCP",0,0,NA
"227","2015-08-15T00:00:00","PRCP",25,0,NA
"228","2015-08-16T00:00:00","PRCP",20,0,NA
"229","2015-08-17T00:00:00","PRCP",51,0,8
"230","2015-08-18T00:00:00","PRCP",99,145,NA
"231","2015-08-19T00:00:00","PRCP",114,325,NA
"232","2015-08-20T00:00:00","PRCP",25,3,NA
"233","2015-08-21T00:00:00","PRCP",0,0,0
"234","2015-08-22T00:00:00","PRCP",0,0,NA
"235","2015-08-23T00:00:00","PRCP",0,0,NA
"236","2015-08-24T00:00:00","PRCP",0,0,NA
"237","2015-08-25T00:00:00","PRCP",0,0,97
"238","2015-08-26T00:00:00","PRCP",0,0,5
"239","2015-08-27T00:00:00","PRCP",0,0,0
"240","2015-08-28T00:00:00","PRCP",30,0,NA
"241","2015-08-29T00:00:00","PRCP",0,5,NA
"242","2015-08-30T00:00:00","PRCP",0,5,NA
"243","2015-08-31T00:00:00","PRCP",0,0,NA
"244","2015-09-01T00:00:00","PRCP",0,46,NA
"245","2015-09-02T00:00:00","PRCP",0,122,NA
"246","2015-09-03T00:00:00","PRCP",851,5,0
"247","2015-09-04T00:00:00","PRCP",51,0,NA
"248","2015-09-05T00:00:00","PRCP",94,300,NA
"249","2015-09-06T00:00:00","PRCP",0,0,0
"250","2015-09-07T00:00:00","PRCP",0,0,NA
"251","2015-09-08T00:00:00","PRCP",0,0,NA
"252","2015-09-09T00:00:00","PRCP",0,272,NA
"253","2015-09-10T00:00:00","PRCP",15,0,NA
"254","2015-09-11T00:00:00","PRCP",0,112,NA
"255","2015-09-12T00:00:00","PRCP",0,18,NA
"256","2015-09-13T00:00:00","PRCP",135,0,NA
"257","2015-09-14T00:00:00","PRCP",25,0,NA
"258","2015-09-15T00:00:00","PRCP",66,0,NA
"259","2015-09-16T00:00:00","PRCP",0,0,NA
"260","2015-09-17T00:00:00","PRCP",0,0,NA
"261","2015-09-18T00:00:00","PRCP",0,396,NA
"262","2015-09-19T00:00:00","PRCP",61,358,NA
"263","2015-09-20T00:00:00","PRCP",130,0,NA
"264","2015-09-21T00:00:00","PRCP",5,0,NA
"265","2015-09-22T00:00:00","PRCP",0,0,NA
"266","2015-09-23T00:00:00","PRCP",0,0,NA
"267","2015-09-24T00:00:00","PRCP",0,0,NA
"268","2015-09-25T00:00:00","PRCP",0,0,NA
"269","2015-09-26T00:00:00","PRCP",0,0,NA
"270","2015-09-27T00:00:00","PRCP",15,0,NA
"271","2015-09-28T00:00:00","PRCP",89,8,NA
"272","2015-09-29T00:00:00","PRCP",36,0,NA
"273","2015-09-30T00:00:00","PRCP",409,0,NA
"274","2015-10-01T00:00:00","PRCP",0,0,302
"275","2015-10-02T00:00:00","PRCP",61,0,NA
"276","2015-10-03T00:00:00","PRCP",79,0,NA
"277","2015-10-04T00:00:00","PRCP",0,0,NA
"278","2015-10-05T00:00:00","PRCP",0,0,NA
"279","2015-10-06T00:00:00","PRCP",0,0,NA
"280","2015-10-07T00:00:00","PRCP",0,0,NA
"281","2015-10-08T00:00:00","PRCP",0,0,NA
"282","2015-10-09T00:00:00","PRCP",231,8,20
"283","2015-10-10T00:00:00","PRCP",15,0,79
"284","2015-10-11T00:00:00","PRCP",0,0,20
"285","2015-10-12T00:00:00","PRCP",36,0,NA
"286","2015-10-13T00:00:00","PRCP",0,0,NA
"287","2015-10-14T00:00:00","PRCP",114,0,NA
"288","2015-10-15T00:00:00","PRCP",0,0,NA
"289","2015-10-16T00:00:00","PRCP",0,0,NA
"290","2015-10-17T00:00:00","PRCP",0,0,NA
"291","2015-10-18T00:00:00","PRCP",0,0,NA
"292","2015-10-19T00:00:00","PRCP",5,0,NA
"293","2015-10-20T00:00:00","PRCP",15,0,NA
"294","2015-10-21T00:00:00","PRCP",66,0,NA
"295","2015-10-22T00:00:00","PRCP",0,0,NA
"296","2015-10-23T00:00:00","PRCP",0,0,0
"297","2015-10-24T00:00:00","PRCP",0,3,41
"298","2015-10-25T00:00:00","PRCP",211,0,NA
"299","2015-10-26T00:00:00","PRCP",84,0,NA
"300","2015-10-27T00:00:00","PRCP",0,76,152
"301","2015-10-28T00:00:00","PRCP",56,211,NA
"302","2015-10-29T00:00:00","PRCP",0,5,NA
"303","2015-10-30T00:00:00","PRCP",0,0,NA
"304","2015-10-31T00:00:00","PRCP",5,13,NA
"305","2015-11-01T00:00:00","PRCP",0,71,NA
"306","2015-11-02T00:00:00","PRCP",0,0,NA
"307","2015-11-03T00:00:00","PRCP",0,0,NA
"308","2015-11-04T00:00:00","PRCP",0,0,NA
"309","2015-11-05T00:00:00","PRCP",0,0,NA
"310","2015-11-06T00:00:00","PRCP",0,33,NA
"311","2015-11-07T00:00:00","PRCP",0,0,201
"312","2015-11-08T00:00:00","PRCP",0,0,191
"313","2015-11-09T00:00:00","PRCP",0,0,109
"314","2015-11-10T00:00:00","PRCP",109,0,8
"315","2015-11-11T00:00:00","PRCP",180,0,NA
"316","2015-11-12T00:00:00","PRCP",25,28,NA
"317","2015-11-13T00:00:00","PRCP",0,0,NA
"318","2015-11-14T00:00:00","PRCP",0,0,211
"319","2015-11-15T00:00:00","PRCP",99,0,NA
"320","2015-11-16T00:00:00","PRCP",20,0,NA
"321","2015-11-17T00:00:00","PRCP",0,231,NA
"322","2015-11-18T00:00:00","PRCP",5,257,NA
"323","2015-11-19T00:00:00","PRCP",0,3,0
"324","2015-11-20T00:00:00","PRCP",0,0,NA
"325","2015-11-21T00:00:00","PRCP",25,97,NA
"326","2015-11-22T00:00:00","PRCP",5,69,NA
"327","2015-11-23T00:00:00","PRCP",0,0,160
"328","2015-11-24T00:00:00","PRCP",76,0,NA
"329","2015-11-25T00:00:00","PRCP",414,0,130
"330","2015-11-26T00:00:00","PRCP",0,13,0
"331","2015-11-27T00:00:00","PRCP",155,188,NA
"332","2015-11-28T00:00:00","PRCP",114,117,NA
"333","2015-11-29T00:00:00","PRCP",46,3,41
"334","2015-11-30T00:00:00","PRCP",0,13,20
"335","2015-12-01T00:00:00","PRCP",180,51,NA
"336","2015-12-02T00:00:00","PRCP",5,3,130
"337","2015-12-03T00:00:00","PRCP",20,5,3
"338","2015-12-04T00:00:00","PRCP",46,0,NA
"339","2015-12-05T00:00:00","PRCP",15,0,NA
"340","2015-12-06T00:00:00","PRCP",30,0,NA
"341","2015-12-07T00:00:00","PRCP",104,18,NA
"342","2015-12-08T00:00:00","PRCP",0,0,NA
"343","2015-12-09T00:00:00","PRCP",0,0,NA
"344","2015-12-10T00:00:00","PRCP",0,0,NA
"345","2015-12-11T00:00:00","PRCP",25,0,NA
"346","2015-12-12T00:00:00","PRCP",20,0,NA
"347","2015-12-13T00:00:00","PRCP",0,0,NA
"348","2015-12-14T00:00:00","PRCP",0,178,NA
"349","2015-12-15T00:00:00","PRCP",0,18,8
"350","2015-12-16T00:00:00","PRCP",30,0,NA
"351","2015-12-17T00:00:00","PRCP",185,0,NA
"352","2015-12-18T00:00:00","PRCP",284,0,NA
"353","2015-12-19T00:00:00","PRCP",30,0,NA
"354","2015-12-20T00:00:00","PRCP",10,0,NA
"355","2015-12-21T00:00:00","PRCP",0,259,13
"356","2015-12-22T00:00:00","PRCP",76,5,NA
"357","2015-12-23T00:00:00","PRCP",0,0,18
"358","2015-12-24T00:00:00","PRCP",0,135,NA
"359","2015-12-25T00:00:00","PRCP",36,0,NA
"360","2015-12-26T00:00:00","PRCP",180,0,8
"361","2015-12-27T00:00:00","PRCP",10,691,NA
"362","2015-12-28T00:00:00","PRCP",0,213,NA
"363","2015-12-29T00:00:00","PRCP",25,323,NA
"364","2015-12-30T00:00:00","PRCP",10,0,NA
"365","2015-12-31T00:00:00","PRCP",10,0,NA
